ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_CorrGray,Intensity_IntegratedIntensity_OrigBlot,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_X_OrigBlot,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Y_OrigBlot,Location_Center_X,Location_Center_Y
1,63,491,85.08308507502079,146.40688191354275,1212.5765878096054,1211.813272439714,426.4424989713593,426.4241439676159,1210.7678207739307,426.4012219959267
1,64,462,79.66230189055204,137.25146889686584,1414.5656784771263,1413.9207346549733,425.54468000409634,425.5657216475986,1413.025974025974,425.5930735930736
1,65,487,81.31614904850721,141.85175867378712,211.01949976625468,210.29713534875128,425.8636940416385,425.85683342719807,209.32854209445586,425.84804928131416
1,66,459,80.52870767563581,137.58890706300735,610.9952512741844,610.3100973118732,426.2710563171721,426.28948031561936,609.3398692810457,426.31590413943354
1,67,424,73.95536532253027,126.69156900048256,818.8844335447216,818.3192896032386,426.1825451232629,426.1575972769894,817.5283018867924,426.125
1,68,445,77.29828193038702,132.60773627460003,1616.1126827196574,1615.5151819694677,426.28270051668244,426.27028963723,1614.6786516853933,426.25393258426965
1,69,484,82.82291729748249,143.01786844432354,1815.3507199593546,1814.628505776212,426.12298237798444,426.11953201321637,1813.6342975206612,426.1115702479339
1,70,503,85.81299886852503,148.4786754399538,2013.8144344826737,2013.013581136312,425.7747129961201,425.78243049100746,2011.9125248508947,425.7892644135189
1,71,411,70.58176396787167,121.66070020198822,820.8201156350865,820.2632928679863,476.05205012982816,475.993934558399,819.4963503649635,475.9075425790754
1,72,443,75.48514298349619,130.60466927289963,1617.8533598376544,1617.283136804244,475.5054251041006,475.52351739617365,1616.5033860045146,475.54853273137695
1,73,473,79.1199041903019,138.04061976075172,1818.2578552176565,1817.5984622622518,475.2759412086818,475.30198534991035,1816.7124735729387,475.33615221987316
1,74,464,78.28725116699934,135.88300903141499,617.4346145160744,616.7529639436874,475.36146340613834,475.2984926631566,615.8297413793103,475.2133620689655
1,75,493,86.07704156637192,147.51633469760418,1415.6008233168288,1414.8674609519367,475.9332908994971,475.9030176722719,1413.841784989858,475.86004056795133
1,76,477,83.55146013200283,143.09387373924255,2010.7000927134761,2010.044121266413,476.05486357282325,476.08921642205024,2009.125786163522,476.1383647798742
1,77,478,82.1287399083376,141.39409498870373,214.72310497034837,214.0255314360373,475.89771577727606,475.92098042967837,213.05857740585773,475.9539748953975
1,78,481,84.21322768181562,144.1039139330387,413.9939679875767,413.24904449922843,476.3965713109846,476.4049384568139,412.2016632016632,476.4178794178794
1,79,502,85.98179648816586,148.14789049327374,1015.2751525858939,1014.515534042588,476.06776086359224,476.0493312719522,1013.4661354581673,476.0239043824701
1,80,500,86.61083219200373,148.79037155210972,1216.1211325350018,1215.3718104412637,477.0426619466353,477.06286938457606,1214.336,477.092
1,81,461,77.71634885668755,135.1410698890686,2013.6557246485738,2012.9627442991523,525.0609594497489,525.0376620821999,2012.0216919739696,525.0065075921909
1,82,449,76.5746840313077,132.5393757969141,1616.4385117127065,1615.8208447233178,525.6400655670027,525.6256706294316,1614.9732739420936,525.6057906458798
1,83,467,80.58313748240471,138.64408321678638,1816.9479984941922,1816.321677876794,525.2972006680444,525.2011303118978,1815.453961456103,525.0706638115631
1,84,463,79.54553887993097,137.11515998840332,414.9971512022079,414.3258844241765,525.8103000862404,525.8292592876948,413.40388768898487,525.8574514038877
1,85,447,75.87827912718058,131.36528593301773,616.0483935505963,615.4378207034226,525.3123816765822,525.3052306515349,614.6017897091723,525.2953020134228
1,86,449,76.6735938936472,132.41300077736378,1211.8640543706088,1211.1967929019588,525.7527796460013,525.7993603424769,1210.2806236080178,525.8685968819599
1,87,515,90.33070756494999,154.14009341597557,213.4432066370765,212.74510114090134,526.1446181588788,526.1383394709346,211.7592233009709,526.1300970873787
1,88,497,87.19238457083702,148.95117086172104,816.8373994788176,816.1090765008686,526.365246982518,526.3635237984512,815.0824949698189,526.3722334004024
1,89,419,72.7938646003604,124.88087299466133,1022.1182209853396,1021.5573046236698,526.3491078670389,526.3508838143271,1020.7708830548926,526.3532219570405
1,90,448,75.48190948367119,131.20361657440662,1416.590849637304,1415.9864571692492,526.2144052477587,526.1717185831218,1415.174107142857,526.1116071428571
1,91,492,83.74425942450762,144.65632109344006,613.7702862371733,613.0536335602015,575.5271048023983,575.525684343912,612.0731707317074,575.5243902439024
1,92,452,79.29956567287445,135.04292361438274,817.2117631313446,816.583933424801,575.7965454936611,575.8301441164166,815.6924778761062,575.8783185840708
1,93,424,73.4585333019495,126.04911881685257,1419.161051321573,1418.614240637572,575.8100693585191,575.8143259993732,1417.8490566037735,575.8207547169811
1,94,461,78.49536854028702,135.63326479494572,218.04321260674303,217.44445379645066,577.307548078882,577.3077377957684,216.62472885032537,577.3036876355749
1,95,533,91.95521505177021,157.95841901004314,1011.5646703499333,1010.7653278860766,576.6261215884193,576.632741146396,1009.656660412758,576.641651031895
1,96,449,78.55103221535683,134.42917549610138,1612.3796577304327,1611.7379465085794,576.4000157831291,576.4111211849697,1610.837416481069,576.4298440979956
1,97,524,89.984301045537,154.75764083862305,1811.3347507754129,1810.519137066297,576.2684615114782,576.2654975207217,1809.3874045801526,576.2614503816794
1,98,498,85.73802047967911,147.2971392571926,414.11360100102496,413.4187011936003,576.188013674429,576.180978932893,412.45180722891564,576.1746987951807
1,99,433,74.4413063749671,128.02389550209045,1215.9122282367812,1215.3480922568424,575.8565611931828,575.8871251687034,1214.5681293302541,575.9330254041571
1,100,516,88.80820732563734,153.0334328711033,2017.153032270055,2016.4091289501275,576.6537346917256,576.6361950176349,2015.3837209302326,576.6143410852713
